claim,url,date,content,renderedContent,id,replyCount,retweetCount,likeCount,quoteCount,conversationId,lang,source,sourceUrl,sourceLabel,outlinks,tcooutlinks,retweetedTweet,quotedTweet,inReplyToTweetId,inReplyToUser,mentionedUsers,coordinates,place,hashtags,cashtags,username,displayname,description,rawDescription,descriptionUrls,verified,created,followersCount,friendsCount,statusesCount,favouritesCount,listedCount,mediaCount,location,protected,linkUrl,linkTcourl,profileImageUrl,profileBannerUrl,label,user_id
The European Parliament requires the liquidation of the state of the Republic of Moldova,https://twitter.com/partriotru21/status/1209696924674220032,2019-12-25 04:46:36+00:00,Европарламент официально отказался от признания государства Молдова https://t.co/esmDQsOQhJ,Европарламент официально отказался от признания государства Молдова news-front.info/2019/12/24/evr…,1209696924674220032,0.0,1.0,1.0,0.0,1.20969692467422e+18,ru,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",https://mobile.twitter.com,Twitter Web App,['https://news-front.info/2019/12/24/evroparlament-oficzialno-otkazalsya-ot-priznaniya-gosudarstva-moldova/#.XgLpi5fdqnw.twitter'],['https://t.co/esmDQsOQhJ'],,,,,,,,,,partriotru21,Сергей🇷🇺🇧🇾,"Сначала подумай о Родине, а потом о себе. Не только о политике.
Примечание: за угрозы, жалобы (на меня) и нацизм - бан.
За хамство и троллинг - игнор.","Сначала подумай о Родине, а потом о себе. Не только о политике.
Примечание: за угрозы, жалобы (на меня) и нацизм - бан.
За хамство и троллинг - игнор.",,False,2014-07-01 10:46:07+00:00,2813.0,3534.0,132593.0,148823.0,16.0,6136.0,Россия,False,,,https://pbs.twimg.com/profile_images/1408290824287367169/JdovNrBY_normal.jpg,https://pbs.twimg.com/profile_banners/2597813011/1624597671,,2597813011
The European Parliament requires the liquidation of the state of the Republic of Moldova,https://twitter.com/Wardus2/status/1209495282771206149,2019-12-24 15:25:21+00:00,https://t.co/x5Ccx5uWCB,news-front.info/2019/12/24/evr…,1209495282771206144,0.0,0.0,0.0,0.0,1.2094952827712061e+18,und,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",https://mobile.twitter.com,Twitter Web App,['https://news-front.info/2019/12/24/evroparlament-oficzialno-otkazalsya-ot-priznaniya-gosudarstva-moldova/'],['https://t.co/x5Ccx5uWCB'],,,,,,,,,,Wardus2,Эдуард Михайлович,"Была бы вера, а боги найдутся","Была бы вера, а боги найдутся",,False,2012-11-20 08:20:06+00:00,321.0,320.0,39599.0,27497.0,13.0,538.0,,False,,,https://pbs.twimg.com/profile_images/1374675604193304582/9q6QLym5_normal.jpg,https://pbs.twimg.com/profile_banners/959992982/1616583524,,959992982
Four Ukrainian security officers were shot on the border with Hungary,https://twitter.com/Kalashnikov1510/status/1209810960699056128,2019-12-25 12:19:44+00:00,СМИ: четырех оперативников СБУ нашли мертвыми на границе с Венгрией.  https://t.co/IyHgCdTyWO https://t.co/AZYYh1fnEB,СМИ: четырех оперативников СБУ нашли мертвыми на границе с Венгрией.  ria.ru/20191224/15627… https://t.co/AZYYh1fnEB,1209810960699056128,0.0,0.0,0.0,0.0,1.209810960699056e+18,ru,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",https://mobile.twitter.com,Twitter Web App,['https://ria.ru/20191224/1562750144.html?utm_medium=referral&utm_source=lentainform.com&utm_campaign=ria.ru&utm_term=1281179&utm_content=8229653'],['https://t.co/IyHgCdTyWO'],,,,,,,,,,Kalashnikov1510,Дальний Восток,,,,False,2012-07-28 02:24:49+00:00,33.0,23.0,10673.0,44.0,3.0,6751.0,,False,,,https://pbs.twimg.com/profile_images/846212196602265600/7k2CJcn1_normal.jpg,,,721314908
Four Ukrainian security officers were shot on the border with Hungary,https://twitter.com/ArsMn/status/1209776465048457220,2019-12-25 10:02:40+00:00,СМИ: четырех оперативников СБУ нашли мертвыми на границе с Венгрией: https://t.co/f1MjInLi6c,СМИ: четырех оперативников СБУ нашли мертвыми на границе с Венгрией: ria.ru/20191224/15627…,1209776465048457216,0.0,0.0,0.0,0.0,1.2097764650484572e+18,ru,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",http://twitter.com,Twitter Web Client,['https://ria.ru/20191224/1562750144.html'],['https://t.co/f1MjInLi6c'],,,,,,,,,,ArsMn,МАРС,"Вот застыл батальон в строю
Хоть им нет двадцати пяти 
Трудный путь им пришлось пройти
Это те кто в штыки поднимался как один
Те кто брал Берлин!","Вот застыл батальон в строю
Хоть им нет двадцати пяти 
Трудный путь им пришлось пройти
Это те кто в штыки поднимался как один
Те кто брал Берлин!",,False,2011-05-01 09:58:20+00:00,506.0,36.0,192507.0,110639.0,9.0,14377.0,планета Земля,False,,,https://pbs.twimg.com/profile_images/596939412841361408/4uC4vpuy_normal.jpg,https://pbs.twimg.com/profile_banners/291007562/1429748524,,291007562
Four Ukrainian security officers were shot on the border with Hungary,https://twitter.com/lotterius/status/1209426557481181184,2019-12-24 10:52:16+00:00,СМИ: четырех оперативников СБУ нашли мертвыми на границе с Венгрией: https://t.co/VkptBI8NV9,СМИ: четырех оперативников СБУ нашли мертвыми на границе с Венгрией: ria.ru/20191224/15627…,1209426557481181184,0.0,0.0,0.0,0.0,1.2094265574811812e+18,ru,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",http://twitter.com,Twitter Web Client,['https://ria.ru/20191224/1562750144.html'],['https://t.co/VkptBI8NV9'],,,,,,,,,,lotterius,Александр Баранов,***Всё  проходит... Пройдёт и это!***,***Всё  проходит... Пройдёт и это!***,,False,2013-12-18 13:35:28+00:00,1303.0,310.0,72076.0,15187.0,13.0,483.0,,False,,,https://pbs.twimg.com/profile_images/415934248512524288/TBYuU6XL_normal.jpeg,https://pbs.twimg.com/profile_banners/2252002596/1599129132,,2252002596
Four Ukrainian security officers were shot on the border with Hungary,https://twitter.com/VladimirSencow/status/1209385326105571330,2019-12-24 08:08:25+00:00,СМИ: четырех оперативников СБУ нашли мертвыми на границе с Венгрией: https://t.co/LvQbMHF6ev,СМИ: четырех оперативников СБУ нашли мертвыми на границе с Венгрией: ria.ru/20191224/15627…,1209385326105571328,0.0,0.0,0.0,0.0,1.2093853261055713e+18,ru,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",http://twitter.com,Twitter Web Client,['https://ria.ru/20191224/1562750144.html'],['https://t.co/LvQbMHF6ev'],,,,,,,,,,VladimirSencow,владимир сенцов,пенсионер,пенсионер,,False,2013-12-12 14:17:40+00:00,9.0,87.0,6955.0,54.0,0.0,58.0,"Воронеж, Россия",False,,,https://pbs.twimg.com/profile_images/711617573310353408/aJUgTMM1_normal.jpg,,,2242442059
Four Ukrainian security officers were shot on the border with Hungary,https://twitter.com/rkh5a/status/1209264300617019392,2019-12-24 00:07:30+00:00,СМИ: четырех оперативников СБУ нашли мертвыми на границе с Венгрией: https://t.co/TCVwsUCQJG,СМИ: четырех оперативников СБУ нашли мертвыми на границе с Венгрией: ria.ru/20191224/15627…,1209264300617019392,0.0,0.0,0.0,0.0,1.2092643006170194e+18,ru,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",http://twitter.com,Twitter Web Client,['https://ria.ru/20191224/1562750144.html'],['https://t.co/TCVwsUCQJG'],,,,,,,,,,rkh5a,ТамаЯ Короновирус,"Пишу в твиттер ради удовольствия
Пишу с абщипками так что извеняй но могу и матерком","Пишу в твиттер ради удовольствия
Пишу с абщипками так что извеняй но могу и матерком",,False,2019-08-04 19:25:03+00:00,358.0,332.0,53621.0,15695.0,4.0,5082.0,Вся Россия,False,,,https://pbs.twimg.com/profile_images/1473250702411677705/dH-ivr4F_normal.jpg,https://pbs.twimg.com/profile_banners/1158096527430160384/1568963826,,1158096527430160384
Four Ukrainian security officers were shot on the border with Hungary,https://twitter.com/cuggxa/status/1209252497468133377,2019-12-23 23:20:36+00:00,"Чот даже для них крутовато
Четырех оперативников СБУ нашли мертвыми на границе с Венгрией:  https://t.co/vLTVWh15c9","Чот даже для них крутовато
Четырех оперативников СБУ нашли мертвыми на границе с Венгрией:  ria.ru/20191224/15627…",1209252497468133376,0.0,0.0,0.0,1.0,1.2092524974681334e+18,ru,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://twitter.com/download/android,Twitter for Android,['https://ria.ru/20191224/1562750144.html'],['https://t.co/vLTVWh15c9'],,,,,,,,,,cuggxa,cuggxa💉💉,"Если что-то не устраивает, не надо меня информировать. Переживите шок самостоятельно.
Общение это как секс, надо ещё вызвать желание им с тобой заниматься.","Если что-то не устраивает, не надо меня информировать. Переживите шок самостоятельно.
Общение это как секс, надо ещё вызвать желание им с тобой заниматься.",,False,2012-11-27 14:21:48+00:00,3391.0,471.0,105879.0,40417.0,26.0,8660.0,,False,,,https://pbs.twimg.com/profile_images/1348927807422914561/xEhHesp9_normal.jpg,https://pbs.twimg.com/profile_banners/973985960/1586586293,,973985960
Four Ukrainian security officers were shot on the border with Hungary,https://twitter.com/rianru/status/1209247783380799488,2019-12-23 23:01:52+00:00,"В Закарпатье после пыток расстреляли опергруппу СБУ 
https://t.co/q8P9qRnJJU https://t.co/ZtyoVgXac4","В Закарпатье после пыток расстреляли опергруппу СБУ 
ria.ru/20191224/15627… https://t.co/ZtyoVgXac4",1209247783380799488,15.0,20.0,26.0,3.0,1.2092477833807995e+18,ru,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",https://about.twitter.com/products/tweetdeck,TweetDeck,['https://ria.ru/20191224/1562750144.html'],['https://t.co/q8P9qRnJJU'],,,,,,,,,,rianru,РИА Новости,"Официальный аккаунт сайта Ria.ru, МИА Россия сегодня. Читайте также @riabreakingnews","Официальный аккаунт сайта https://t.co/7O6yCVPHzN, МИА Россия сегодня. Читайте также @riabreakingnews","[{'text': 'Ria.ru', 'url': 'http://Ria.ru', 'tcourl': 'https://t.co/7O6yCVPHzN', 'indices': (26, 49)}]",True,2009-04-22 05:54:08+00:00,2658423.0,41.0,669211.0,4.0,6849.0,395550.0,Russia,False,http://ria.ru,https://t.co/9ptHlHJBMM,https://pbs.twimg.com/profile_images/1391858429430542344/ZzlHOgCc_normal.jpg,https://pbs.twimg.com/profile_banners/34200559/1610349155,"UserLabel(description='Государственное издание, Россия', url='https://help.twitter.com/rules-and-policies/state-affiliated', badgeUrl='https://pbs.twimg.com/semantic_core_img/1290393477595820032/pLqK9_SG?format=png&name=orig', longDescription=None)",34200559
Four Ukrainian security officers were shot on the border with Hungary,https://twitter.com/ukraina_ru/status/1209398832989167617,2019-12-24 09:02:05+00:00,Тревожные новости из Закарпатья https://t.co/CXt1iJ0Jzf https://t.co/oLHmyf8XUM,Тревожные новости из Закарпатья ukraina.ru/news/20191224/… https://t.co/oLHmyf8XUM,1209398832989167616,0.0,3.0,0.0,0.0,1.2093988329891676e+18,ru,"<a href=""https://amplifr.com"" rel=""nofollow"">Amplifr</a>",https://amplifr.com,Amplifr,['https://ukraina.ru/news/20191224/1026146871.html'],['https://t.co/CXt1iJ0Jzf'],,,,,,,,,,ukraina_ru,Украина • РУ,Официальная страница издания ukraina.ru,Официальная страница издания https://t.co/RDdtX82ISR,"[{'text': 'ukraina.ru', 'url': 'http://ukraina.ru', 'tcourl': 'https://t.co/RDdtX82ISR', 'indices': (29, 52)}]",False,2014-06-11 17:14:34+00:00,27363.0,7758.0,188209.0,172.0,202.0,26778.0,https://t.me/ukraina_ru,False,http://www.ukraina.ru/,https://t.co/Xe1MXEx1Qf,https://pbs.twimg.com/profile_images/1481647576591974400/HPowAZk__normal.jpg,https://pbs.twimg.com/profile_banners/2561722728/1557994512,"UserLabel(description='Государственное издание, Россия', url='https://help.twitter.com/rules-and-policies/state-affiliated', badgeUrl='https://pbs.twimg.com/semantic_core_img/1290393477595820032/pLqK9_SG?format=png&name=orig', longDescription=None)",2561722728
Four Ukrainian security officers were shot on the border with Hungary,https://twitter.com/gkpJc9v525zk4oH/status/1209348025388277760,2019-12-24 05:40:12+00:00,Немецкий эксперт Рар: «Американцы жестко стоят на позиции унизить Россию и Германию» - 24.12.2019 - Украина.ру: https://t.co/BdwvFW5UHP,Немецкий эксперт Рар: «Американцы жестко стоят на позиции унизить Россию и Германию» - 24.12.2019 - Украина.ру: ukraina.ru/news/20191224/…,1209348025388277760,0.0,0.0,0.0,0.0,1.2093480253882778e+18,ru,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",http://twitter.com,Twitter Web Client,['https://ukraina.ru/news/20191224/1026146871.html'],['https://t.co/BdwvFW5UHP'],,,,,,,,,,gkpJc9v525zk4oH,МАХОНЬКО  ГЕОРГІЙ  ІВАНОВИЧ,,,,False,2019-01-04 12:53:21+00:00,2.0,22.0,1057.0,3.0,0.0,10.0,,False,,,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,,,1081171727349104640
Four Ukrainian security officers were shot on the border with Hungary,https://twitter.com/Krestovski17/status/1209332804091305984,2019-12-24 04:39:43+00:00,"«Спецслужба слила информацию местным бандитам о прибытии спецгруппы оперативников. После того как с опергруппой была потеряна связь, их начали искать. И нашли мертвыми, все тела были со следами пыток»

Читать далее: https://t.co/gungILR1T7","«Спецслужба слила информацию местным бандитам о прибытии спецгруппы оперативников. После того как с опергруппой была потеряна связь, их начали искать. И нашли мертвыми, все тела были со следами пыток»

Читать далее: ukraina.ru/news/20191224/…",1209332804091305984,0.0,0.0,0.0,0.0,1.209332804091306e+18,ru,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",https://mobile.twitter.com,Twitter Web App,['https://ukraina.ru/news/20191224/1026146871.html'],['https://t.co/gungILR1T7'],,,,,,,,,,Krestovski17,Александр Туманов,,,,False,2014-08-19 05:21:42+00:00,1.0,19.0,167.0,4.0,0.0,6.0,Кременьчуг,False,,,https://pbs.twimg.com/profile_images/502706127356690432/HDAg2Q1t_normal.jpeg,,,2744035470
Four Ukrainian security officers were shot on the border with Hungary,https://twitter.com/ukraina_ru/status/1209332024076623872,2019-12-24 04:36:37+00:00,"В Закарпатье расстреляли опергруппу Службы безопасности Украины
https://t.co/CXt1iJ0Jzf","В Закарпатье расстреляли опергруппу Службы безопасности Украины
ukraina.ru/news/20191224/…",1209332024076623872,1.0,10.0,6.0,2.0,1.209332024076624e+18,ru,"<a href=""https://amplifr.com"" rel=""nofollow"">Amplifr</a>",https://amplifr.com,Amplifr,['https://ukraina.ru/news/20191224/1026146871.html'],['https://t.co/CXt1iJ0Jzf'],,,,,,,,,,ukraina_ru,Украина • РУ,Официальная страница издания ukraina.ru,Официальная страница издания https://t.co/RDdtX82ISR,"[{'text': 'ukraina.ru', 'url': 'http://ukraina.ru', 'tcourl': 'https://t.co/RDdtX82ISR', 'indices': (29, 52)}]",False,2014-06-11 17:14:34+00:00,27363.0,7758.0,188209.0,172.0,202.0,26778.0,https://t.me/ukraina_ru,False,http://www.ukraina.ru/,https://t.co/Xe1MXEx1Qf,https://pbs.twimg.com/profile_images/1481647576591974400/HPowAZk__normal.jpg,https://pbs.twimg.com/profile_banners/2561722728/1557994512,"UserLabel(description='Государственное издание, Россия', url='https://help.twitter.com/rules-and-policies/state-affiliated', badgeUrl='https://pbs.twimg.com/semantic_core_img/1290393477595820032/pLqK9_SG?format=png&name=orig', longDescription=None)",2561722728
